TARGET_FID,RF_Number_,RF_Median_,RF_Nationa,RF_Speed_l
276,2,0,1,25
277,3,0,1,25
278,3,5,2,25
279,2,5,2,45
280,3,5,2,25
281,2,0,2,25
282,2,0,1,25
283,2,0,1,25
284,2,0,1,25
285,2,0,1,25
286,3,0,2,35
287,2,0,1,25
288,2,0,1,25
289,2,0,1,25
290,2,0,1,25
291,2,0,1,25
292,2,0,1,25
293,3,0,2,25
294,2,0,1,25
295,2,0,1,25
296,2,0,1,25
297,2,0,1,25
298,2,0,1,25
299,2,0,1,25
300,2,0,2,35
301,2,0,1,25
302,2,0,1,25
303,2,0,1,25
304,2,0,1,25
305,2,0,1,25
306,2,0,1,25
307,2,5,2,25
308,2,5,2,45
309,2,0,1,25
310,2,0,1,25
311,2,0,1,25
312,2,0,1,25
313,2,0,1,25
314,2,0,1,25
315,2,0,1,25
316,2,0,1,25
317,2,0,2,35
318,3,0,2,35
319,2,0,1,25
320,2,0,1,25
321,2,0,1,25
322,2,0,1,25
323,2,0,1,25
324,2,0,1,25
325,3,0,2,35
326,2,0,1,25
327,2,0,1,25
328,2,0,1,25
329,2,0,1,25
330,2,0,1,25
331,2,0,1,25
332,2,0,1,25
333,2,0,1,25
334,2,0,1,25
335,2,0,1,25
336,2,0,1,25
337,2,0,1,25
338,2,0,1,25
339,2,0,1,25
340,2,0,1,25
341,2,0,1,25
342,3,0,1,35
343,2,0,1,25
344,2,0,1,25
345,2,0,1,25
346,2,0,1,25
347,2,0,1,25
348,2,0,1,25
349,2,0,1,25
350,2,0,1,25
351,2,0,1,25
352,2,0,1,25
353,2,0,1,25
354,2,0,1,25
355,2,0,1,25
356,2,0,2,50
357,2,0,2,50
358,2,0,2,50
359,2,0,2,50
360,2,0,2,50
361,2,0,0,50
362,2,0,2,50
363,2,0,2,50
364,2,0,1,50
365,2,0,2,50
366,2,0,1,50
367,2,0,1,55
368,2,0,1,50
369,3,5,1,45
370,2,0,1,25
371,2,0,1,25
372,2,0,1,25
373,2,0,1,25
374,2,0,1,25
375,2,0,1,25
376,2,0,1,25
377,2,0,1,25
378,2,0,1,25
379,2,0,1,25
380,2,0,1,25
381,2,0,1,25
382,2,0,1,25
383,2,0,1,25
384,2,0,1,25
385,2,0,1,25
386,2,0,1,25
387,2,0,1,25
388,2,0,1,25
389,2,0,1,25
390,2,0,1,25
391,2,0,1,25
392,1,0,1,25
393,1,0,1,25
394,1,0,1,25
395,2,0,1,25
396,2,0,1,25
397,2,0,1,25
398,2,0,1,25
399,2,0,1,25
400,2,0,1,55
401,2,0,1,50
402,2,0,1,50
403,3,0,1,50
404,3,5,4,50
405,3,5,4,50
406,3,5,4,50
407,2,5,2,50
408,2,5,2,50
409,2,0,1,50
410,2,5,4,50
411,2,5,4,50
412,2,0,2,50
413,2,0,1,50
414,2,0,1,25
415,2,0,1,25
416,2,0,1,50
417,2,0,1,50
418,2,0,2,50
419,2,0,2,50
420,2,0,2,50
421,2,0,2,50
422,2,0,1,50
423,2,0,1,50
424,2,0,1,45
425,2,0,1,50
426,2,0,1,50
