TARGET_FID,Ac_Unpr,E8_Svc,D3A,D3BAO,D5CEI,RF_Number_,RF_Speed_l
40068,404.53663,103,11.31654696,1.953753795,0.57975548,2,40
40069,80.7416547,38,21.30298397,0,0.815089768,4,35
40070,119.2166073,16,23.29322343,0,0.751492455,4,40
40071,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40073,119.2166073,16,23.29322343,0,0.751492455,2,35
40074,119.2166073,16,23.29322343,0,0.751492455,2,35
40075,80.7416547,38,21.30298397,0,0.815089768,4,35
40076,80.7416547,38,21.30298397,0,0.815089768,4,35
40077,404.53663,103,11.31654696,1.953753795,0.57975548,4,25
40080,80.7416547,38,21.30298397,0,0.815089768,2,25
40081,80.7416547,38,21.30298397,0,0.815089768,2,25
40082,80.7416547,38,21.30298397,0,0.815089768,2,25
40083,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40086,92.9162717,5,32.0966965,0,0.869765393,2,25
40087,92.9162717,5,32.0966965,0,0.869765393,2,25
40088,92.9162717,5,32.0966965,0,0.869765393,2,25
40089,92.9162717,5,32.0966965,0,0.869765393,2,25
40090,92.9162717,5,32.0966965,0,0.869765393,2,25
40091,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40093,92.9162717,5,32.0966965,0,0.869765393,2,25
40094,92.9162717,5,32.0966965,0,0.869765393,2,25
40095,92.9162717,5,32.0966965,0,0.869765393,2,25
40096,92.9162717,5,32.0966965,0,0.869765393,2,25
40097,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40100,80.7416547,38,21.30298397,0,0.815089768,2,25
40101,80.7416547,38,21.30298397,0,0.815089768,2,25
40102,80.7416547,38,21.30298397,0,0.815089768,2,25
40103,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40105,92.9162717,5,32.0966965,0,0.869765393,2,25
40106,92.9162717,5,32.0966965,0,0.869765393,2,25
40107,92.9162717,5,32.0966965,0,0.869765393,2,25
40108,92.9162717,5,32.0966965,0,0.869765393,2,25
