TARGET_FID,Number_of_lanes,"Population,_2018","Households_(occupied_housing_units),_2018","Percent_of_zero-car_households_in_CBG,_2018","Total_employment,_2017"
1381,2,2675,1006,0.015904573,2428
1382,2,4317,1790,0.011731844,2306
1383,2,2046,803,0,596
1384,2,2675,1006,0.015904573,2428
1385,2,2046,803,0,596
1386,2,4317,1790,0.011731844,2306
1387,2,4317,1790,0.011731844,2306
1388,2,4317,1790,0.011731844,2306
1389,2,4317,1790,0.011731844,2306
1390,2,2046,803,0,596
1391,2,4317,1790,0.011731844,2306
1392,2,4317,1790,0.011731844,2306
1393,2,4317,1790,0.011731844,2306
1394,2,1551,643,0,328
1395,2,1551,643,0,328
1396,4,4317,1790,0.011731844,2306
1397,4,1551,643,0,328
1398,2,2046,803,0,596
1399,4,4317,1790,0.011731844,2306
1400,2,4317,1790,0.011731844,2306
1401,5,4317,1790,0.011731844,2306
1402,5,4317,1790,0.011731844,2306
1403,4,4317,1790,0.011731844,2306
1404,2,4317,1790,0.011731844,2306
1405,2,1551,643,0,328
1406,2,4317,1790,0.011731844,2306
1407,2,4317,1790,0.011731844,2306
1408,2,1551,643,0,328
1409,2,4317,1790,0.011731844,2306
1410,1,4317,1790,0.011731844,2306
1411,2,4317,1790,0.011731844,2306
1412,2,4317,1790,0.011731844,2306
1413,2,4317,1790,0.011731844,2306
1414,2,4317,1790,0.011731844,2306
1415,2,4317,1790,0.011731844,2306
1416,2,4317,1790,0.011731844,2306
1417,2,4317,1790,0.011731844,2306
1418,2,4317,1790,0.011731844,2306
1419,2,4317,1790,0.011731844,2306
1420,2,4317,1790,0.011731844,2306
1421,1,4317,1790,0.011731844,2306
1422,2,4317,1790,0.011731844,2306
1423,3,2675,1006,0.015904573,2428
1424,2,4317,1790,0.011731844,2306
1425,2,4317,1790,0.011731844,2306
1426,2,4317,1790,0.011731844,2306
1427,2,4317,1790,0.011731844,2306
1428,2,4317,1790,0.011731844,2306
1429,2,4317,1790,0.011731844,2306
1430,2,4317,1790,0.011731844,2306
1431,2,4317,1790,0.011731844,2306
1432,2,4317,1790,0.011731844,2306
1433,2,4317,1790,0.011731844,2306
1434,2,4317,1790,0.011731844,2306
1435,2,4317,1790,0.011731844,2306
1436,2,4317,1790,0.011731844,2306
1437,2,4317,1790,0.011731844,2306
1438,2,4317,1790,0.011731844,2306
1439,2,4317,1790,0.011731844,2306
1440,3,4317,1790,0.011731844,2306
1441,2,4317,1790,0.011731844,2306
1442,2,4317,1790,0.011731844,2306
1443,2,4317,1790,0.011731844,2306
1444,2,4317,1790,0.011731844,2306
1445,2,4317,1790,0.011731844,2306
1446,2,4317,1790,0.011731844,2306
1447,2,4317,1790,0.011731844,2306
1448,2,4317,1790,0.011731844,2306
1449,2,4317,1790,0.011731844,2306
1450,2,4317,1790,0.011731844,2306
1451,2,4317,1790,0.011731844,2306
1452,2,4317,1790,0.011731844,2306
1453,2,4317,1790,0.011731844,2306
1454,2,4317,1790,0.011731844,2306
1455,2,4317,1790,0.011731844,2306
1456,1,4317,1790,0.011731844,2306
1457,2,4317,1790,0.011731844,2306
1458,2,4317,1790,0.011731844,2306
1459,2,4317,1790,0.011731844,2306
1460,2,4317,1790,0.011731844,2306
1461,2,1551,643,0,328
1462,2,1551,643,0,328
1463,2,1551,643,0,328
1464,3,2675,1006,0.015904573,2428
1465,2,2675,1006,0.015904573,2428
1466,2,2675,1006,0.015904573,2428
1467,3,2675,1006,0.015904573,2428
1468,2,2675,1006,0.015904573,2428
1469,2,2675,1006,0.015904573,2428
1470,3,2675,1006,0.015904573,2428
1471,3,2675,1006,0.015904573,2428
1472,2,2675,1006,0.015904573,2428
1473,2,2675,1006,0.015904573,2428
1474,2,2675,1006,0.015904573,2428
1475,2,2675,1006,0.015904573,2428
1476,2,2675,1006,0.015904573,2428
1477,3,2675,1006,0.015904573,2428
1478,3,2675,1006,0.015904573,2428
1479,3,2675,1006,0.015904573,2428
1480,2,2675,1006,0.015904573,2428
1481,4,2675,1006,0.015904573,2428
1482,4,4317,1790,0.011731844,2306
1483,4,2675,1006,0.015904573,2428
1484,2,2675,1006,0.015904573,2428
1485,2,2675,1006,0.015904573,2428
1486,2,2675,1006,0.015904573,2428
1487,2,4317,1790,0.011731844,2306
1488,2,4317,1790,0.011731844,2306
1489,2,4317,1790,0.011731844,2306
1490,2,4317,1790,0.011731844,2306
1491,2,4317,1790,0.011731844,2306
1492,2,4317,1790,0.011731844,2306
1493,2,4317,1790,0.011731844,2306
1494,2,4317,1790,0.011731844,2306
1495,2,4317,1790,0.011731844,2306
1496,2,4317,1790,0.011731844,2306
1497,2,4317,1790,0.011731844,2306
1498,2,4317,1790,0.011731844,2306
1499,2,4317,1790,0.011731844,2306
1500,2,4317,1790,0.011731844,2306
1501,2,4317,1790,0.011731844,2306
1502,2,4317,1790,0.011731844,2306
1503,2,4317,1790,0.011731844,2306
1504,2,4317,1790,0.011731844,2306
1505,2,4317,1790,0.011731844,2306
1506,2,4317,1790,0.011731844,2306
1507,2,4317,1790,0.011731844,2306
1508,2,4317,1790,0.011731844,2306
1509,2,4317,1790,0.011731844,2306
1510,2,4317,1790,0.011731844,2306
1511,2,4317,1790,0.011731844,2306
1512,2,4317,1790,0.011731844,2306
1513,2,4317,1790,0.011731844,2306
1514,2,4317,1790,0.011731844,2306
1515,2,4317,1790,0.011731844,2306
1516,2,4317,1790,0.011731844,2306
1517,2,4317,1790,0.011731844,2306
1518,2,4317,1790,0.011731844,2306
1519,2,4317,1790,0.011731844,2306
1520,2,4317,1790,0.011731844,2306
1521,2,4317,1790,0.011731844,2306
1522,2,4317,1790,0.011731844,2306
1523,2,4317,1790,0.011731844,2306
1524,2,2046,803,0,596
1525,1,2046,803,0,596
1526,2,2046,803,0,596
1527,2,2046,803,0,596
1528,2,4317,1790,0.011731844,2306
1529,2,4317,1790,0.011731844,2306
1530,2,4317,1790,0.011731844,2306
1531,2,4317,1790,0.011731844,2306
1532,2,4317,1790,0.011731844,2306
1533,2,4317,1790,0.011731844,2306
1534,2,4317,1790,0.011731844,2306
1535,2,4317,1790,0.011731844,2306
1536,2,4317,1790,0.011731844,2306
1537,2,4317,1790,0.011731844,2306
1538,2,4317,1790,0.011731844,2306
1539,2,4317,1790,0.011731844,2306
1540,2,4317,1790,0.011731844,2306
1541,2,4317,1790,0.011731844,2306
1542,2,4317,1790,0.011731844,2306
1543,2,4317,1790,0.011731844,2306
1544,2,4317,1790,0.011731844,2306
1545,2,4317,1790,0.011731844,2306
1546,2,4317,1790,0.011731844,2306
1547,2,4317,1790,0.011731844,2306
1548,2,4317,1790,0.011731844,2306
1549,2,4317,1790,0.011731844,2306
1550,2,4317,1790,0.011731844,2306
1551,2,4317,1790,0.011731844,2306
1552,2,4317,1790,0.011731844,2306
1553,2,4317,1790,0.011731844,2306
1554,2,4317,1790,0.011731844,2306
1555,2,4317,1790,0.011731844,2306
1556,2,4317,1790,0.011731844,2306
1557,2,4317,1790,0.011731844,2306
1558,2,4317,1790,0.011731844,2306
1559,2,4317,1790,0.011731844,2306
1560,2,4317,1790,0.011731844,2306
1561,2,4317,1790,0.011731844,2306
1562,2,4317,1790,0.011731844,2306
1563,2,4317,1790,0.011731844,2306
1564,2,4317,1790,0.011731844,2306
1565,2,4317,1790,0.011731844,2306
1566,2,4317,1790,0.011731844,2306
1567,2,4317,1790,0.011731844,2306
1568,2,4317,1790,0.011731844,2306
1569,2,4317,1790,0.011731844,2306
1570,2,4317,1790,0.011731844,2306
1571,2,4317,1790,0.011731844,2306
1572,2,4317,1790,0.011731844,2306
1573,2,4317,1790,0.011731844,2306
1574,2,4317,1790,0.011731844,2306
1575,2,4317,1790,0.011731844,2306
1576,2,4317,1790,0.011731844,2306
1577,2,4317,1790,0.011731844,2306
1578,2,4317,1790,0.011731844,2306
1579,2,4317,1790,0.011731844,2306
1580,3,4317,1790,0.011731844,2306
1581,2,4317,1790,0.011731844,2306
1582,2,4317,1790,0.011731844,2306
1583,2,4317,1790,0.011731844,2306
1584,2,4317,1790,0.011731844,2306
1585,2,4317,1790,0.011731844,2306
1586,2,4317,1790,0.011731844,2306
1587,2,4317,1790,0.011731844,2306
1588,2,4317,1790,0.011731844,2306
1589,2,4317,1790,0.011731844,2306
1590,2,4317,1790,0.011731844,2306
1591,2,4317,1790,0.011731844,2306
1592,2,4317,1790,0.011731844,2306
1593,2,4317,1790,0.011731844,2306
1594,2,4317,1790,0.011731844,2306
1595,2,4317,1790,0.011731844,2306
1596,2,4317,1790,0.011731844,2306
1597,2,4317,1790,0.011731844,2306
1598,2,1655,626,0.028753994,853
1599,2,4317,1790,0.011731844,2306
1600,2,4317,1790,0.011731844,2306
1601,2,4317,1790,0.011731844,2306
1602,2,4317,1790,0.011731844,2306
1603,2,4317,1790,0.011731844,2306
1604,2,4317,1790,0.011731844,2306
1605,2,4317,1790,0.011731844,2306
1606,2,4317,1790,0.011731844,2306
1607,2,4317,1790,0.011731844,2306
1608,2,4317,1790,0.011731844,2306
1609,2,4317,1790,0.011731844,2306
1610,2,4317,1790,0.011731844,2306
1611,2,4317,1790,0.011731844,2306
1612,2,4317,1790,0.011731844,2306
1613,2,4317,1790,0.011731844,2306
1614,2,4317,1790,0.011731844,2306
1615,2,4317,1790,0.011731844,2306
1616,2,4317,1790,0.011731844,2306
1617,2,4317,1790,0.011731844,2306
1618,2,4317,1790,0.011731844,2306
1619,2,4317,1790,0.011731844,2306
1620,2,4317,1790,0.011731844,2306
1621,2,4317,1790,0.011731844,2306
1622,2,4317,1790,0.011731844,2306
1623,2,4317,1790,0.011731844,2306
1624,2,4317,1790,0.011731844,2306
1625,2,4317,1790,0.011731844,2306
1626,2,4317,1790,0.011731844,2306
1627,2,4317,1790,0.011731844,2306
1628,2,4317,1790,0.011731844,2306
1629,2,4317,1790,0.011731844,2306
1630,2,4317,1790,0.011731844,2306
1631,2,4317,1790,0.011731844,2306
1632,2,4317,1790,0.011731844,2306
1633,2,4317,1790,0.011731844,2306
1634,2,4317,1790,0.011731844,2306
1635,2,4317,1790,0.011731844,2306
1636,2,4317,1790,0.011731844,2306
1637,2,4317,1790,0.011731844,2306
1638,2,4317,1790,0.011731844,2306
1639,2,4317,1790,0.011731844,2306
1640,2,4317,1790,0.011731844,2306
1641,2,4317,1790,0.011731844,2306
1642,3,4317,1790,0.011731844,2306
1643,2,4317,1790,0.011731844,2306
1644,3,4317,1790,0.011731844,2306
1645,2,4317,1790,0.011731844,2306
1646,2,4317,1790,0.011731844,2306
1647,3,4317,1790,0.011731844,2306
1648,2,4317,1790,0.011731844,2306
1649,2,4317,1790,0.011731844,2306
1650,2,4317,1790,0.011731844,2306
1651,2,4317,1790,0.011731844,2306
1652,2,4317,1790,0.011731844,2306
1653,2,4317,1790,0.011731844,2306
1654,2,4317,1790,0.011731844,2306
1655,2,4317,1790,0.011731844,2306
1656,2,4317,1790,0.011731844,2306
1657,2,4317,1790,0.011731844,2306
1658,2,4317,1790,0.011731844,2306
1659,2,4317,1790,0.011731844,2306
1660,2,4317,1790,0.011731844,2306
1661,2,4317,1790,0.011731844,2306
1662,2,4317,1790,0.011731844,2306
1663,2,2675,1006,0.015904573,2428
1664,2,4317,1790,0.011731844,2306
1665,2,4317,1790,0.011731844,2306
1666,2,4317,1790,0.011731844,2306
1667,3,4317,1790,0.011731844,2306
1668,2,4317,1790,0.011731844,2306
1669,2,4317,1790,0.011731844,2306
1670,2,4317,1790,0.011731844,2306
1671,2,4317,1790,0.011731844,2306
1672,2,4317,1790,0.011731844,2306
1673,2,4317,1790,0.011731844,2306
1674,2,4317,1790,0.011731844,2306
1675,2,4317,1790,0.011731844,2306
1676,2,4317,1790,0.011731844,2306
1677,2,4317,1790,0.011731844,2306
1678,2,4317,1790,0.011731844,2306
1679,2,4317,1790,0.011731844,2306
1680,1,4317,1790,0.011731844,2306
1681,6,4317,1790,0.011731844,2306
1682,1,4317,1790,0.011731844,2306
1683,2,4317,1790,0.011731844,2306
1684,2,4317,1790,0.011731844,2306
1685,2,4317,1790,0.011731844,2306
1686,2,4317,1790,0.011731844,2306
1687,2,4317,1790,0.011731844,2306
1688,2,4317,1790,0.011731844,2306
1689,2,4317,1790,0.011731844,2306
1690,2,2046,803,0,596
1691,2,2046,803,0,596
1692,2,4317,1790,0.011731844,2306
1693,2,4317,1790,0.011731844,2306
1694,2,4317,1790,0.011731844,2306
1695,2,4317,1790,0.011731844,2306
1696,2,4317,1790,0.011731844,2306
1697,2,4317,1790,0.011731844,2306
1698,2,2046,803,0,596
1699,2,2046,803,0,596
1700,2,4317,1790,0.011731844,2306
1701,2,4317,1790,0.011731844,2306
1702,2,4317,1790,0.011731844,2306
1703,2,4317,1790,0.011731844,2306
1704,2,4317,1790,0.011731844,2306
1705,2,4317,1790,0.011731844,2306
1706,2,4317,1790,0.011731844,2306
1707,2,4317,1790,0.011731844,2306
1708,2,4317,1790,0.011731844,2306
1709,2,4317,1790,0.011731844,2306
1710,2,4317,1790,0.011731844,2306
1711,2,4317,1790,0.011731844,2306
1712,2,4317,1790,0.011731844,2306
1713,2,4317,1790,0.011731844,2306
1714,2,4317,1790,0.011731844,2306
1715,2,4317,1790,0.011731844,2306
1716,2,4317,1790,0.011731844,2306
1717,2,4317,1790,0.011731844,2306
1718,2,4317,1790,0.011731844,2306
1719,2,4317,1790,0.011731844,2306
1720,2,4317,1790,0.011731844,2306
1721,2,4317,1790,0.011731844,2306
1722,2,2675,1006,0.015904573,2428
1723,2,2675,1006,0.015904573,2428
1724,2,2675,1006,0.015904573,2428
1725,2,2675,1006,0.015904573,2428
1726,2,2675,1006,0.015904573,2428
1727,2,2675,1006,0.015904573,2428
1728,2,2675,1006,0.015904573,2428
1729,2,2675,1006,0.015904573,2428
1730,2,2675,1006,0.015904573,2428
1731,2,2675,1006,0.015904573,2428
1732,2,2675,1006,0.015904573,2428
1733,2,2675,1006,0.015904573,2428
1734,2,2675,1006,0.015904573,2428
1735,2,2675,1006,0.015904573,2428
1736,2,2675,1006,0.015904573,2428
1737,2,2675,1006,0.015904573,2428
1738,2,2675,1006,0.015904573,2428
1739,2,2675,1006,0.015904573,2428
1740,2,2675,1006,0.015904573,2428
1741,2,2675,1006,0.015904573,2428
1742,2,2675,1006,0.015904573,2428
1743,2,2675,1006,0.015904573,2428
1744,2,1502,609,0,39
1745,2,691,285,0,28
1746,2,2675,1006,0.015904573,2428
1747,2,2675,1006,0.015904573,2428
1748,2,2675,1006,0.015904573,2428
1749,2,2675,1006,0.015904573,2428
1750,2,2675,1006,0.015904573,2428
1751,2,2675,1006,0.015904573,2428
1752,2,2675,1006,0.015904573,2428
1753,2,2675,1006,0.015904573,2428
1754,2,2675,1006,0.015904573,2428
1755,2,2675,1006,0.015904573,2428
1756,2,2675,1006,0.015904573,2428
1757,2,2675,1006,0.015904573,2428
1758,2,1655,626,0.028753994,853
1759,2,2675,1006,0.015904573,2428
1760,2,2675,1006,0.015904573,2428
1761,2,2675,1006,0.015904573,2428
1762,2,2675,1006,0.015904573,2428
1763,2,2675,1006,0.015904573,2428
1764,2,2675,1006,0.015904573,2428
1765,2,2675,1006,0.015904573,2428
1766,2,2675,1006,0.015904573,2428
1767,2,2046,803,0,596
1768,2,1655,626,0.028753994,853
1769,2,1655,626,0.028753994,853
1770,2,1655,626,0.028753994,853
1771,2,1655,626,0.028753994,853
1772,2,1655,626,0.028753994,853
1773,2,1655,626,0.028753994,853
1774,5,1502,609,0,39
1775,5,1502,609,0,39
1776,5,1502,609,0,39
1777,5,1502,609,0,39
1778,2,1502,609,0,39
1779,4,691,285,0,28
1780,5,691,285,0,28
1781,5,691,285,0,28
1782,2,691,285,0,28
1783,5,691,285,0,28
1784,2,2675,1006,0.015904573,2428
1785,5,2675,1006,0.015904573,2428
1786,5,2675,1006,0.015904573,2428
1787,2,4317,1790,0.011731844,2306
1788,2,4317,1790,0.011731844,2306
1789,2,4317,1790,0.011731844,2306
1790,2,2046,803,0,596
1791,2,2420,941,0,80
1792,2,2675,1006,0.015904573,2428
1793,2,2675,1006,0.015904573,2428
1794,2,2675,1006,0.015904573,2428
1795,2,2675,1006,0.015904573,2428
1796,1,2994,1395,0.170609319,660
1797,2,2420,941,0,80
1798,2,2675,1006,0.015904573,2428
1799,2,2675,1006,0.015904573,2428
1800,2,2675,1006,0.015904573,2428
1801,2,2675,1006,0.015904573,2428
1802,2,2675,1006,0.015904573,2428
1803,2,2675,1006,0.015904573,2428
1804,2,2675,1006,0.015904573,2428
1805,2,2675,1006,0.015904573,2428
1806,2,2675,1006,0.015904573,2428
1807,2,2675,1006,0.015904573,2428
1808,2,2675,1006,0.015904573,2428
1809,2,2675,1006,0.015904573,2428
1810,2,2675,1006,0.015904573,2428
1811,2,2675,1006,0.015904573,2428
1812,2,2675,1006,0.015904573,2428
1813,2,2675,1006,0.015904573,2428
1814,2,2675,1006,0.015904573,2428
1815,2,2675,1006,0.015904573,2428
1816,2,2675,1006,0.015904573,2428
1817,2,2675,1006,0.015904573,2428
1818,2,2675,1006,0.015904573,2428
1819,2,2675,1006,0.015904573,2428
1820,2,2675,1006,0.015904573,2428
1821,2,1655,626,0.028753994,853
1822,5,2675,1006,0.015904573,2428
1823,2,2675,1006,0.015904573,2428
1824,2,2675,1006,0.015904573,2428
1825,2,2675,1006,0.015904573,2428
1826,3,2675,1006,0.015904573,2428
1827,2,2675,1006,0.015904573,2428
1828,2,2675,1006,0.015904573,2428
1829,3,2675,1006,0.015904573,2428
1830,2,2675,1006,0.015904573,2428
1831,2,2675,1006,0.015904573,2428
1832,3,2675,1006,0.015904573,2428
1833,3,2675,1006,0.015904573,2428
1834,2,2675,1006,0.015904573,2428
1835,2,2675,1006,0.015904573,2428
1836,2,2675,1006,0.015904573,2428
1837,2,2675,1006,0.015904573,2428
1838,2,2675,1006,0.015904573,2428
1839,3,2675,1006,0.015904573,2428
1840,3,2675,1006,0.015904573,2428
1841,3,2675,1006,0.015904573,2428
1842,2,2675,1006,0.015904573,2428
1843,4,2675,1006,0.015904573,2428
1844,4,4317,1790,0.011731844,2306
1845,4,2675,1006,0.015904573,2428
1846,2,2675,1006,0.015904573,2428
1847,2,2675,1006,0.015904573,2428
1848,2,2675,1006,0.015904573,2428
1849,2,2675,1006,0.015904573,2428
1850,2,2675,1006,0.015904573,2428
1851,5,2675,1006,0.015904573,2428
1852,5,2675,1006,0.015904573,2428
1853,2,2675,1006,0.015904573,2428
1854,2,2675,1006,0.015904573,2428
1855,2,2675,1006,0.015904573,2428
1856,2,2675,1006,0.015904573,2428
1857,2,2675,1006,0.015904573,2428
1858,2,2675,1006,0.015904573,2428
1859,2,2675,1006,0.015904573,2428
1860,2,2675,1006,0.015904573,2428
1861,2,2675,1006,0.015904573,2428
1862,1,2675,1006,0.015904573,2428
1863,2,2675,1006,0.015904573,2428
1864,1,2675,1006,0.015904573,2428
1865,2,2675,1006,0.015904573,2428
1866,2,2675,1006,0.015904573,2428
1867,1,2675,1006,0.015904573,2428
1868,1,2675,1006,0.015904573,2428
1869,2,2675,1006,0.015904573,2428
1870,2,2675,1006,0.015904573,2428
1871,2,2675,1006,0.015904573,2428
1872,2,2675,1006,0.015904573,2428
1873,2,2675,1006,0.015904573,2428
1874,2,2675,1006,0.015904573,2428
1875,2,2675,1006,0.015904573,2428
1876,2,2675,1006,0.015904573,2428
1877,2,2675,1006,0.015904573,2428
1878,2,2675,1006,0.015904573,2428
1879,2,2675,1006,0.015904573,2428
1880,2,2675,1006,0.015904573,2428
1881,2,2675,1006,0.015904573,2428
1882,2,2675,1006,0.015904573,2428
1883,5,2675,1006,0.015904573,2428
1884,2,2675,1006,0.015904573,2428
1885,2,2675,1006,0.015904573,2428
1886,2,2675,1006,0.015904573,2428
1887,2,2675,1006,0.015904573,2428
1888,2,2675,1006,0.015904573,2428
1889,2,2675,1006,0.015904573,2428
1890,2,2675,1006,0.015904573,2428
1891,2,2675,1006,0.015904573,2428
1892,2,2675,1006,0.015904573,2428
1893,2,2675,1006,0.015904573,2428
1894,2,2675,1006,0.015904573,2428
1895,1,2675,1006,0.015904573,2428
1896,1,2675,1006,0.015904573,2428
1897,1,2675,1006,0.015904573,2428
1898,2,2675,1006,0.015904573,2428
1899,2,2675,1006,0.015904573,2428
1900,2,2675,1006,0.015904573,2428
1901,2,2675,1006,0.015904573,2428
1902,1,2675,1006,0.015904573,2428
1903,2,2675,1006,0.015904573,2428
1904,2,2675,1006,0.015904573,2428
1905,2,2675,1006,0.015904573,2428
1906,2,2675,1006,0.015904573,2428
1907,2,2675,1006,0.015904573,2428
1908,2,2675,1006,0.015904573,2428
1909,2,2675,1006,0.015904573,2428
1910,2,2675,1006,0.015904573,2428
1911,2,2675,1006,0.015904573,2428
1912,2,2675,1006,0.015904573,2428
1913,2,2675,1006,0.015904573,2428
1914,2,2675,1006,0.015904573,2428
1915,2,2675,1006,0.015904573,2428
1916,2,2675,1006,0.015904573,2428
1917,2,2675,1006,0.015904573,2428
1918,2,2675,1006,0.015904573,2428
1919,2,2675,1006,0.015904573,2428
1920,2,2675,1006,0.015904573,2428
1921,2,2675,1006,0.015904573,2428
1922,2,2675,1006,0.015904573,2428
1923,2,2675,1006,0.015904573,2428
1924,2,2675,1006,0.015904573,2428
1925,2,2675,1006,0.015904573,2428
1926,2,2675,1006,0.015904573,2428
1927,2,2675,1006,0.015904573,2428
1928,2,2675,1006,0.015904573,2428
1929,2,2675,1006,0.015904573,2428
1930,2,2675,1006,0.015904573,2428
1931,2,2675,1006,0.015904573,2428
1932,2,2675,1006,0.015904573,2428
1933,2,2675,1006,0.015904573,2428
1934,2,2675,1006,0.015904573,2428
1935,2,2675,1006,0.015904573,2428
1936,2,2675,1006,0.015904573,2428
1937,2,2675,1006,0.015904573,2428
1938,2,2675,1006,0.015904573,2428
1939,2,2675,1006,0.015904573,2428
1940,2,2675,1006,0.015904573,2428
1941,2,2675,1006,0.015904573,2428
1942,2,2675,1006,0.015904573,2428
1943,2,2675,1006,0.015904573,2428
1944,2,2675,1006,0.015904573,2428
1945,2,2675,1006,0.015904573,2428
1946,2,2675,1006,0.015904573,2428
1947,2,2675,1006,0.015904573,2428
1948,2,2675,1006,0.015904573,2428
1949,2,2675,1006,0.015904573,2428
1950,2,2675,1006,0.015904573,2428
1951,2,2675,1006,0.015904573,2428
1952,2,2675,1006,0.015904573,2428
1953,2,2675,1006,0.015904573,2428
1954,2,2675,1006,0.015904573,2428
1955,2,2675,1006,0.015904573,2428
1956,2,2675,1006,0.015904573,2428
1957,2,2675,1006,0.015904573,2428
1958,2,2675,1006,0.015904573,2428
1959,2,2675,1006,0.015904573,2428
1960,2,2675,1006,0.015904573,2428
1961,2,2675,1006,0.015904573,2428
1962,2,2675,1006,0.015904573,2428
1963,2,2675,1006,0.015904573,2428
1964,2,2675,1006,0.015904573,2428
1965,2,2675,1006,0.015904573,2428
1966,2,2675,1006,0.015904573,2428
1967,2,2675,1006,0.015904573,2428
1968,2,2675,1006,0.015904573,2428
1969,2,2675,1006,0.015904573,2428
1970,2,2675,1006,0.015904573,2428
1971,2,2675,1006,0.015904573,2428
1972,2,2675,1006,0.015904573,2428
1973,2,2675,1006,0.015904573,2428
1974,2,2675,1006,0.015904573,2428
1975,2,2675,1006,0.015904573,2428
1976,2,2675,1006,0.015904573,2428
1977,2,2675,1006,0.015904573,2428
1978,2,2675,1006,0.015904573,2428
1979,2,2675,1006,0.015904573,2428
1980,2,2675,1006,0.015904573,2428
1981,2,2675,1006,0.015904573,2428
1982,2,2675,1006,0.015904573,2428
1983,2,2675,1006,0.015904573,2428
1984,2,2675,1006,0.015904573,2428
1985,2,2675,1006,0.015904573,2428
1986,2,2675,1006,0.015904573,2428
1987,2,2675,1006,0.015904573,2428
1988,2,2675,1006,0.015904573,2428
1989,2,2675,1006,0.015904573,2428
1990,2,2675,1006,0.015904573,2428
1991,2,2675,1006,0.015904573,2428
1992,2,2675,1006,0.015904573,2428
1993,2,2675,1006,0.015904573,2428
1994,2,2675,1006,0.015904573,2428
1995,2,2675,1006,0.015904573,2428
1996,2,2675,1006,0.015904573,2428
1997,2,2675,1006,0.015904573,2428
1998,2,2675,1006,0.015904573,2428
1999,2,2675,1006,0.015904573,2428
2000,2,2675,1006,0.015904573,2428
2001,2,2675,1006,0.015904573,2428
2002,2,2675,1006,0.015904573,2428
2003,2,2675,1006,0.015904573,2428
2004,2,2675,1006,0.015904573,2428
2005,2,2675,1006,0.015904573,2428
2006,2,2675,1006,0.015904573,2428
2007,2,2675,1006,0.015904573,2428
2008,2,2675,1006,0.015904573,2428
2009,2,2675,1006,0.015904573,2428
2010,2,2675,1006,0.015904573,2428
2011,2,2675,1006,0.015904573,2428
2012,2,2675,1006,0.015904573,2428
2013,2,2675,1006,0.015904573,2428
2014,2,2675,1006,0.015904573,2428
2015,2,2675,1006,0.015904573,2428
2016,2,2675,1006,0.015904573,2428
2017,2,2675,1006,0.015904573,2428
2018,2,2675,1006,0.015904573,2428
2019,2,2675,1006,0.015904573,2428
2020,2,2675,1006,0.015904573,2428
2021,2,2675,1006,0.015904573,2428
2022,2,2675,1006,0.015904573,2428
2023,2,2675,1006,0.015904573,2428
2024,2,2675,1006,0.015904573,2428
2025,2,2675,1006,0.015904573,2428
2026,2,2675,1006,0.015904573,2428
2027,2,2675,1006,0.015904573,2428
2028,2,2675,1006,0.015904573,2428
2029,2,2675,1006,0.015904573,2428
2030,2,2675,1006,0.015904573,2428
2031,2,2675,1006,0.015904573,2428
2032,2,2675,1006,0.015904573,2428
2033,2,2675,1006,0.015904573,2428
2034,2,2675,1006,0.015904573,2428
2035,2,2675,1006,0.015904573,2428
2036,2,2675,1006,0.015904573,2428
2037,2,2675,1006,0.015904573,2428
2038,2,2675,1006,0.015904573,2428
2039,5,2675,1006,0.015904573,2428
2040,2,2675,1006,0.015904573,2428
2041,5,2675,1006,0.015904573,2428
2042,5,2675,1006,0.015904573,2428
2043,2,2675,1006,0.015904573,2428
2044,2,2675,1006,0.015904573,2428
2045,2,2675,1006,0.015904573,2428
2046,2,2675,1006,0.015904573,2428
2047,2,2675,1006,0.015904573,2428
2048,2,2675,1006,0.015904573,2428
2049,2,2675,1006,0.015904573,2428
2050,2,2675,1006,0.015904573,2428
2051,2,2675,1006,0.015904573,2428
2052,2,2675,1006,0.015904573,2428
2053,2,2675,1006,0.015904573,2428
2054,2,2675,1006,0.015904573,2428
2055,2,2675,1006,0.015904573,2428
2056,2,2675,1006,0.015904573,2428
2057,5,2675,1006,0.015904573,2428
2058,2,2675,1006,0.015904573,2428
2059,2,2675,1006,0.015904573,2428
2060,2,2675,1006,0.015904573,2428
2061,2,2675,1006,0.015904573,2428
2062,2,2675,1006,0.015904573,2428
2063,2,2675,1006,0.015904573,2428
2064,5,2675,1006,0.015904573,2428
2065,2,2675,1006,0.015904573,2428
2066,2,2675,1006,0.015904573,2428
2067,2,2675,1006,0.015904573,2428
2068,2,2675,1006,0.015904573,2428
2069,2,2675,1006,0.015904573,2428
2070,2,2675,1006,0.015904573,2428
2071,2,2675,1006,0.015904573,2428
2072,2,1655,626,0.028753994,853
2073,2,1655,626,0.028753994,853
2074,2,1655,626,0.028753994,853
2075,2,1655,626,0.028753994,853
2076,2,1655,626,0.028753994,853
2077,4,2675,1006,0.015904573,2428
2078,2,2675,1006,0.015904573,2428
2079,2,2675,1006,0.015904573,2428
2080,2,2675,1006,0.015904573,2428
2081,2,2675,1006,0.015904573,2428
2082,2,2675,1006,0.015904573,2428
2083,2,2675,1006,0.015904573,2428
2084,2,2675,1006,0.015904573,2428
2085,2,2675,1006,0.015904573,2428
2086,2,2675,1006,0.015904573,2428
2087,2,2675,1006,0.015904573,2428
2088,1,2675,1006,0.015904573,2428
